roadtype,loadkg,axles,climate,temperature,avg_speed,tire_age,wear_level,optimal_psi,failure_flag
highway,18573,2,rainy,11,80,3.84,low,111.58,0
mountain,25670,3,cold,17,46,1.59,medium,110.49,1
urban,19172,4,dry,7,59,1.02,low,99.45,0
highway,18299,4,dry,25,87,2.3,medium,100.29,0
urban,11240,3,dry,12,65,3.83,medium,97.15,0
urban,18092,4,dry,26,59,1.91,low,99.06,0
urban,18865,4,cold,26,88,3.49,medium,100.7,0
highway,22366,2,cold,32,56,0.57,low,115.68,0
urban,17054,2,dry,14,62,3.89,high,107.01,1
mountain,20783,3,cold,32,54,3.65,high,104.96,1
mountain,17475,4,rainy,20,88,1.88,low,101.74,0
highway,25035,3,dry,9,45,1.97,high,105.8,1
mountain,16404,2,rainy,38,52,2.45,medium,110.15,1
urban,13488,4,rainy,26,70,1.82,low,96.62,1
highway,23053,2,cold,30,76,3.69,low,117.31,0
mountain,15366,4,rainy,12,76,2.83,high,97.82,1
highway,24099,2,dry,35,86,2.04,medium,119.09,1
highway,24807,2,cold,13,53,0.11,low,118.32,1
highway,11582,4,rainy,12,69,0.62,low,95.18,0
highway,10434,3,rainy,11,69,2.07,medium,96.62,0
highway,21047,4,cold,15,86,3.42,high,99.82,1
highway,14866,4,cold,21,83,3.51,medium,97.93,0
mountain,23722,2,cold,17,70,0.26,low,119.71,0
urban,24119,4,dry,5,54,1.74,medium,102.31,0
urban,16641,4,cold,15,41,3.27,low,97.27,0
highway,10270,4,dry,38,53,0.85,low,94.11,0
urban,18156,2,cold,18,80,0.52,medium,111.16,1
urban,22003,2,dry,37,58,2.99,medium,115.38,1
mountain,25853,3,rainy,13,43,2.12,low,110.46,0
urban,12746,3,cold,38,68,1.89,low,98.91,0
highway,21465,3,rainy,12,72,0.4,medium,105.95,0
urban,23275,3,dry,16,41,0.19,low,106.28,0
highway,17179,3,dry,21,52,2.54,low,101.71,0
urban,20070,3,rainy,10,76,3.59,medium,104.92,0
highway,23300,2,rainy,8,81,2.02,low,117.48,0
mountain,19273,3,rainy,29,49,2.56,high,103.46,1
mountain,10934,4,cold,20,67,3.05,low,96.81,0
highway,19185,4,dry,14,84,0.97,high,98.56,0
urban,24374,3,dry,17,77,1.25,medium,108.65,1
urban,16396,4,dry,31,67,3.2,low,98.39,0
mountain,17721,2,rainy,23,82,0.11,low,112.78,0
mountain,13398,2,dry,15,65,3.79,high,104.57,1
mountain,23737,3,rainy,29,86,3.42,high,108.66,1
mountain,22581,4,rainy,27,69,0.22,high,102.28,0
urban,11642,4,cold,24,85,0.72,medium,96.04,0
mountain,19682,2,dry,19,56,3.23,low,114.13,0
highway,18256,4,cold,31,83,3.15,medium,100.2,0
highway,23543,2,dry,10,85,1.66,low,117.98,0
urban,14261,2,rainy,10,55,2.83,low,105.18,0
urban,12155,3,cold,12,74,2.15,low,98.27,0
mountain,21322,4,dry,37,84,0.78,medium,104.24,0
highway,25986,2,cold,35,42,3.55,low,119.69,0
highway,24528,3,cold,25,63,2.44,medium,108.34,1
mountain,24065,4,rainy,32,69,2.87,medium,105.28,0
highway,21812,2,cold,17,63,3.32,low,115.04,0
mountain,13459,3,rainy,17,60,0.49,low,100.87,0
urban,11486,4,rainy,26,88,2.15,low,96.09,0
mountain,20358,4,rainy,21,43,0.63,high,99.76,0
mountain,22108,2,dry,21,57,2.77,low,117.23,0
urban,25848,4,dry,20,48,3.21,medium,103.38,0
mountain,14147,4,cold,32,84,3.26,medium,99.68,0
mountain,15084,4,dry,14,83,1.9,high,97.96,0
highway,24324,2,cold,33,79,2.22,medium,119.06,1
mountain,15028,4,cold,14,41,1.25,low,98.24,0
mountain,25558,4,rainy,10,81,2.05,low,106.36,0
highway,21377,4,rainy,5,43,2.65,high,98.16,1
urban,16495,4,rainy,23,59,1.85,medium,98.01,0
mountain,13662,4,rainy,7,84,0.26,low,99.0,0
mountain,14678,2,dry,21,78,0.34,medium,108.78,0
highway,24575,2,dry,25,42,3.63,medium,117.77,1
mountain,15677,4,dry,29,60,0.76,low,99.63,1
mountain,21742,4,dry,23,75,1.72,medium,103.93,0
mountain,19813,3,cold,29,76,3.65,low,106.99,0
mountain,24122,4,rainy,12,70,2.52,low,105.06,0
mountain,21772,2,cold,34,85,3.88,high,116.13,1
urban,15479,3,dry,36,77,1.58,medium,101.52,0
urban,19818,4,rainy,38,46,2.73,low,99.8,0
urban,16783,3,dry,8,63,0.31,medium,101.63,0
mountain,14780,3,dry,34,56,1.11,low,102.07,0
urban,20726,3,dry,23,45,2.88,medium,104.42,0
mountain,19075,4,dry,23,60,3.06,medium,101.67,0
highway,21822,2,cold,37,68,3.5,low,115.55,0
urban,12169,2,dry,24,51,3.68,high,100.61,1
mountain,11791,4,cold,5,47,1.3,low,96.32,0
highway,12691,4,dry,36,71,3.24,low,96.31,0
mountain,11807,3,cold,15,53,2.44,high,97.18,0
highway,21533,3,cold,31,48,3.65,medium,105.33,0
mountain,10997,2,dry,25,47,3.89,medium,103.0,0
urban,20504,2,dry,7,53,1.21,low,112.86,0
urban,15597,4,dry,6,78,3.88,low,97.96,0
mountain,25164,3,rainy,8,52,2.96,medium,110.17,1
urban,11862,2,rainy,15,65,0.48,medium,102.65,0
urban,24335,3,rainy,21,47,3.58,medium,107.47,1
mountain,17104,2,rainy,37,63,1.01,medium,111.46,1
urban,19234,3,rainy,20,40,2.68,low,102.93,0
mountain,22649,4,rainy,11,74,0.58,low,104.28,0
highway,12384,4,cold,11,65,2.07,medium,95.5,0
highway,11609,4,dry,36,41,1.87,medium,94.44,0
urban,21798,3,rainy,38,81,2.6,medium,106.97,0
urban,19438,2,cold,23,54,0.45,low,111.8,0
mountain,19423,2,dry,26,72,1.29,medium,114.55,1
urban,13640,4,dry,6,84,2.36,high,94.98,0
mountain,23164,3,dry,31,47,2.03,high,106.65,0
mountain,11285,4,rainy,16,43,3.89,high,94.01,1
highway,10486,4,cold,19,41,0.25,medium,93.48,0
mountain,15719,2,dry,33,67,3.48,low,109.82,0
urban,18218,4,dry,9,74,2.28,low,99.48,1
highway,18197,2,dry,23,84,1.68,high,109.45,1
urban,10679,3,rainy,21,71,3.34,high,95.05,1
highway,12810,2,dry,23,58,1.91,low,103.68,0
highway,22869,4,cold,37,56,3.52,low,102.09,0
urban,16976,2,dry,11,71,2.36,low,109.22,0
highway,11485,2,dry,17,59,1.59,high,99.97,0
highway,21885,4,dry,10,52,1.63,medium,100.91,0
highway,18476,2,cold,8,68,1.41,low,110.94,0
mountain,20659,3,cold,13,61,1.84,low,106.85,0
urban,17702,2,dry,25,80,2.96,medium,110.7,1
mountain,11746,2,rainy,11,43,2.7,medium,103.57,0
mountain,24292,3,cold,26,80,2.69,medium,110.83,1
urban,20504,2,cold,15,77,2.97,medium,113.93,1
urban,13721,2,dry,30,71,1.4,high,103.44,0
highway,10441,4,dry,35,84,2.22,low,95.41,0
highway,13599,2,cold,6,79,3.25,medium,105.25,0
highway,15935,3,dry,10,74,0.18,medium,101.39,0
mountain,12340,4,dry,17,66,0.67,low,97.61,0
highway,24976,2,rainy,38,45,3.91,low,118.59,0
highway,15009,2,cold,37,54,3.86,low,106.48,0
highway,25835,2,dry,7,67,1.94,low,120.08,0
urban,15819,3,rainy,37,85,2.59,low,102.14,0
mountain,12421,4,rainy,13,41,2.74,medium,96.6,0
urban,12595,2,dry,12,75,3.44,medium,103.92,0
highway,13683,4,dry,38,48,3.21,high,94.04,1
urban,20209,2,cold,15,69,1.18,low,113.25,0
urban,11862,3,rainy,28,76,1.26,medium,98.35,0
highway,21106,2,cold,19,77,0.64,high,112.75,1
urban,22830,4,dry,26,86,2.94,low,103.1,0
highway,13413,2,dry,35,41,1.31,low,103.93,0
highway,22747,2,rainy,33,53,2.58,medium,116.05,1
mountain,13179,4,cold,34,44,3.76,low,97.51,0
urban,21735,2,cold,30,79,1.77,high,113.78,1
highway,24289,4,dry,24,55,1.7,low,102.74,0
urban,14072,4,dry,20,51,2.15,medium,96.14,0
highway,21044,4,dry,9,79,1.74,high,99.45,0
mountain,23295,3,dry,21,89,2.5,low,110.29,0
highway,19250,2,rainy,29,52,2.78,low,111.58,0
urban,13626,3,cold,7,72,3.48,low,99.34,0
highway,20105,3,dry,37,41,1.42,high,101.95,0
mountain,21190,4,cold,22,56,1.37,low,102.81,0
highway,16133,4,cold,17,77,1.97,medium,98.42,0
mountain,10626,3,rainy,34,74,2.12,medium,99.32,0
mountain,25392,2,rainy,32,67,2.38,medium,121.9,1
urban,13458,3,rainy,39,55,1.48,medium,99.0,0
mountain,10745,4,dry,7,49,3.61,high,93.78,1
urban,18393,4,rainy,38,60,0.89,medium,99.47,0
highway,14932,3,cold,29,70,1.24,low,100.68,0
urban,18194,3,dry,17,86,2.12,medium,103.86,0
highway,13421,4,cold,38,73,0.2,low,96.88,0
urban,17257,2,cold,24,59,0.84,low,109.29,0
highway,24662,4,dry,21,65,3.37,medium,103.33,0
highway,19443,4,dry,37,74,3.28,medium,100.67,0
mountain,15512,3,rainy,19,65,3.65,low,102.81,0
urban,19437,3,cold,38,58,0.92,low,104.09,0
mountain,24395,4,cold,20,58,3.62,high,102.87,1
mountain,20913,2,cold,31,63,2.07,high,114.13,1
mountain,11938,4,dry,13,84,1.98,low,98.02,0
highway,22409,4,dry,14,65,3.56,low,101.82,0
mountain,11009,4,rainy,9,52,3.15,low,96.1,0
highway,24678,2,dry,18,63,1.06,low,118.64,0
highway,10978,4,cold,19,85,1.45,low,95.55,0
mountain,18139,2,dry,7,56,3.27,low,112.02,0
urban,12538,3,dry,32,65,1.68,low,98.53,0
highway,24750,4,cold,7,43,1.77,high,100.29,0
highway,22707,4,dry,6,51,1.85,high,99.32,0
mountain,15446,2,dry,7,77,3.63,low,109.49,0
mountain,10716,2,cold,36,52,1.22,low,103.02,0
highway,14551,3,dry,15,40,3.48,medium,98.95,0
urban,19478,2,rainy,16,62,3.06,high,110.07,1
mountain,13883,4,rainy,11,58,3.85,low,98.16,0
highway,13327,4,cold,25,43,3.92,medium,95.42,0
urban,24617,2,dry,15,63,1.85,high,116.52,1
urban,16167,2,cold,20,76,3.41,low,108.55,0
urban,10707,2,cold,36,60,2.45,low,101.32,0
highway,11579,3,dry,9,73,2.56,medium,97.7,0
highway,25444,4,dry,32,58,1.42,high,101.7,0
highway,17294,4,rainy,24,55,3.51,low,98.37,0
urban,21292,4,dry,16,68,2.83,high,99.27,1
mountain,17988,2,dry,13,64,3.8,low,112.24,0
highway,22422,4,cold,16,76,3.98,medium,102.29,0
highway,21463,4,cold,23,43,1.43,medium,100.48,0
highway,15573,3,cold,34,53,0.67,low,100.61,0
urban,13730,3,rainy,9,60,1.23,high,96.98,0
mountain,25115,3,cold,16,48,0.64,high,108.09,1
highway,19127,3,rainy,38,54,3.21,medium,103.67,0
highway,25524,4,cold,17,83,2.69,medium,104.53,0
urban,25798,2,dry,13,73,0.79,high,118.36,1
mountain,23942,4,cold,15,78,2.61,high,103.31,1
mountain,13392,3,cold,21,74,1.41,low,101.43,0
highway,25315,3,dry,30,49,1.69,high,106.51,1
mountain,12341,2,rainy,21,59,0.42,low,105.1,1
urban,18957,4,rainy,12,88,2.27,low,100.55,0
urban,24486,2,rainy,20,66,2.27,medium,118.55,1
highway,23130,2,rainy,6,60,3.02,medium,116.4,1
highway,21554,4,rainy,26,40,2.69,high,98.46,1
urban,21119,3,cold,20,71,2.35,low,105.74,0
urban,14478,2,cold,20,49,2.77,low,105.36,0
highway,14637,2,cold,6,65,2.03,medium,105.99,0
mountain,10889,2,dry,34,52,3.75,low,103.2,0
urban,14851,3,rainy,31,43,3.25,low,99.56,0
highway,17753,4,dry,33,74,2.48,low,99.55,0
highway,17684,4,cold,29,61,1.38,low,98.93,0
highway,15048,4,rainy,14,59,2.61,high,94.98,1
highway,12431,3,cold,34,89,1.04,low,99.43,0
highway,17662,2,cold,29,48,2.75,high,107.43,1
urban,18509,4,dry,27,87,3.67,medium,100.45,0
mountain,15456,4,rainy,11,80,0.18,low,100.02,0
highway,19827,4,dry,13,57,3.68,low,99.87,0
mountain,18193,4,cold,21,74,0.35,medium,101.65,0
urban,17864,4,rainy,21,57,3.02,low,98.76,0
highway,19062,3,dry,9,78,1.67,low,104.14,0
mountain,19809,3,dry,8,69,2.07,medium,106.39,0
highway,11075,3,rainy,16,62,1.94,low,96.95,0
highway,21039,4,rainy,18,78,1.26,low,101.54,1
highway,16198,2,dry,27,69,0.49,medium,108.41,1
urban,24361,3,cold,34,79,1.22,medium,108.97,1
urban,16159,4,cold,15,52,2.37,medium,97.4,0
mountain,21776,3,cold,26,82,1.59,low,108.82,0
mountain,22738,3,dry,38,41,3.89,medium,108.16,1
urban,25909,4,dry,12,46,3.77,low,103.21,0
highway,20311,4,rainy,22,63,3.82,medium,100.54,0
highway,14857,4,cold,11,89,2.09,low,98.01,0
highway,22014,3,rainy,27,63,2.17,medium,106.27,1
mountain,22458,4,cold,30,73,0.1,medium,104.41,0
urban,19721,4,rainy,26,69,2.48,high,98.48,0
mountain,23955,3,cold,7,81,2.53,low,110.31,0
mountain,19243,2,dry,17,64,2.27,medium,113.87,1
highway,16701,3,rainy,17,72,1.53,medium,102.05,0
urban,14935,4,cold,5,67,2.87,medium,97.09,0
urban,23743,4,rainy,34,86,2.56,medium,103.79,0
urban,15076,3,cold,6,88,0.67,low,101.17,0
mountain,21995,4,dry,8,48,3.65,medium,102.79,0
highway,21237,4,cold,30,63,0.94,low,101.24,0
mountain,12832,4,dry,21,72,0.39,medium,98.21,0
urban,10660,2,rainy,35,70,2.03,low,101.65,0
highway,24236,3,cold,23,73,3.99,high,106.46,1
highway,12358,4,rainy,32,87,1.62,low,96.68,0
urban,23154,4,cold,10,63,2.61,low,102.14,0
urban,10122,3,rainy,5,70,3.65,low,96.31,0
mountain,15715,2,rainy,19,59,2.05,low,109.29,0
urban,22672,4,rainy,12,51,0.93,low,101.39,0
urban,19789,3,dry,12,79,1.91,high,102.83,0
urban,10732,2,dry,6,72,2.68,high,99.38,1
highway,15123,4,dry,14,48,3.75,medium,96.58,0
mountain,21935,4,cold,11,80,0.91,low,104.07,0
urban,14284,2,dry,37,61,3.39,medium,105.85,0
urban,25910,2,rainy,14,45,3.67,medium,119.4,1
urban,12284,3,dry,25,74,1.7,low,98.57,0
highway,16665,3,cold,26,74,0.8,medium,102.24,0
highway,21138,3,rainy,39,60,2.54,low,105.6,0
urban,25802,3,cold,39,62,2.59,low,109.57,0
mountain,10204,4,cold,16,67,1.83,medium,96.3,0
urban,17718,3,rainy,6,79,2.52,low,103.02,0
urban,10915,3,rainy,19,71,0.75,low,97.22,0
highway,14878,2,cold,34,74,1.86,low,107.07,0
mountain,22755,3,dry,13,49,3.36,high,106.12,1
highway,15419,3,cold,21,84,2.21,high,99.52,0
urban,21243,3,cold,8,66,1.03,low,105.46,0
mountain,18902,3,dry,27,44,3.11,medium,104.92,0
urban,11590,3,dry,25,75,2.79,high,96.03,1
mountain,13150,3,dry,33,64,1.28,high,99.01,0
urban,21261,4,cold,26,43,1.14,medium,100.4,0
urban,24925,4,cold,21,85,3.3,low,104.29,0
urban,10380,4,dry,26,87,0.94,high,93.36,0
highway,22827,2,rainy,33,71,3.15,medium,116.87,1
urban,22955,3,cold,6,65,3.03,medium,106.82,1
mountain,19817,3,rainy,36,48,2.7,low,105.97,0
highway,13937,4,cold,7,81,2.49,medium,97.06,0
mountain,25008,3,cold,26,88,2.01,high,109.75,1
urban,17748,3,dry,25,51,0.35,low,102.21,0
urban,18350,3,rainy,12,71,2.18,medium,103.31,0
mountain,24838,3,dry,20,51,2.96,low,110.04,0
mountain,20765,2,rainy,21,72,1.5,low,116.15,0
urban,15660,4,rainy,12,85,0.65,medium,98.37,0
highway,21487,2,dry,16,81,1.48,high,113.34,1
mountain,16571,3,cold,12,59,1.34,low,103.35,0
urban,25252,3,rainy,15,41,3.42,low,107.91,0
mountain,24307,2,cold,33,53,0.5,low,120.0,0
urban,13045,2,cold,31,54,2.37,medium,103.93,0
urban,19851,2,cold,25,86,1.88,low,113.63,0
highway,25968,3,dry,5,63,2.53,low,109.24,0
highway,12428,4,rainy,17,46,2.76,low,94.86,0
mountain,15779,2,dry,31,40,3.11,high,106.79,1
mountain,11669,4,dry,9,69,0.63,low,97.19,0
mountain,24129,3,dry,31,49,2.85,low,109.53,0
highway,22255,3,cold,6,89,3.96,low,107.2,0
highway,23894,2,dry,7,58,3.66,low,117.29,0
urban,25906,2,cold,36,89,0.3,low,121.48,0
mountain,19920,4,dry,33,40,1.81,low,101.54,0
highway,21884,4,cold,16,61,1.93,low,101.36,0
urban,23831,2,cold,17,62,3.66,medium,117.52,1
mountain,18491,4,cold,35,70,3.25,high,99.88,1
highway,14033,4,dry,15,55,3.11,low,96.2,0
urban,10894,2,dry,12,86,2.25,medium,102.24,0
urban,17503,3,rainy,38,43,3.16,low,101.88,0
urban,16143,4,rainy,10,59,2.64,medium,97.6,0
urban,20120,2,dry,36,55,2.55,medium,112.89,1
mountain,21400,2,dry,19,48,3.72,medium,115.96,1
highway,15186,2,cold,26,86,2.52,low,107.81,0
urban,20911,2,dry,11,43,3.03,low,113.02,0
mountain,10009,4,rainy,13,47,1.64,high,93.33,0
urban,12945,2,rainy,20,78,0.28,low,104.6,0
urban,13811,4,dry,21,83,2.35,low,97.27,0
mountain,24059,3,rainy,16,53,3.95,low,109.41,0
highway,14144,4,dry,5,62,2.57,high,94.4,1
urban,14189,2,rainy,6,79,3.26,low,105.99,0
highway,15364,3,dry,6,53,3.48,high,98.01,1
mountain,13232,2,dry,29,78,0.85,medium,107.1,0
mountain,10341,3,rainy,7,51,1.88,low,97.76,0
urban,19997,3,rainy,23,65,2.72,medium,104.61,0
urban,13034,4,cold,6,60,3.3,high,93.64,1
urban,17825,3,rainy,28,57,1.45,low,102.55,0
urban,11877,2,dry,22,80,3.46,high,101.38,1
urban,24544,3,dry,14,83,2.25,high,106.98,1
mountain,11568,4,cold,16,88,3.3,medium,97.99,0
mountain,21674,4,cold,29,72,0.57,low,103.86,0
urban,12720,4,cold,12,71,2.67,high,93.97,1
urban,15391,3,dry,35,71,0.74,low,101.19,0
urban,18514,2,rainy,38,47,3.39,high,108.59,1
mountain,14613,3,rainy,31,47,0.22,low,101.52,0
urban,23659,4,dry,17,56,0.35,low,102.28,0
mountain,14392,4,cold,39,82,1.35,high,97.86,0
urban,14078,3,dry,25,84,3.65,low,100.47,0
highway,10046,4,dry,27,69,3.52,medium,94.44,0
highway,13935,2,cold,15,79,0.31,medium,105.8,0
urban,16416,3,cold,22,45,3.3,low,100.81,0
highway,18329,2,rainy,30,61,3.31,low,110.8,0
mountain,10165,4,cold,8,42,1.54,low,95.15,0
mountain,15400,4,cold,7,88,1.88,low,100.25,0
mountain,20878,4,rainy,23,84,0.24,low,103.75,0
mountain,13359,3,cold,27,83,0.92,medium,101.86,0
highway,22781,3,dry,31,82,3.99,medium,107.73,1
urban,19002,2,rainy,14,63,2.53,medium,111.48,1
urban,17180,3,dry,31,45,3.7,low,101.58,0
urban,23083,4,dry,30,57,0.84,low,102.16,0
mountain,11423,4,dry,23,62,2.69,high,94.96,1
urban,25862,2,cold,6,89,1.91,low,120.98,0
mountain,24420,4,dry,29,81,1.08,high,103.94,0
highway,23802,2,dry,21,44,2.94,low,116.83,0
urban,10700,2,rainy,24,87,2.56,medium,102.22,0
urban,25735,2,cold,35,66,2.48,low,120.33,0
highway,25178,2,dry,31,74,3.5,low,119.9,0
mountain,18385,4,rainy,10,46,0.71,low,100.48,0
urban,13172,3,dry,29,88,0.64,low,99.93,0
mountain,13388,4,rainy,27,48,3.82,medium,97.69,0
highway,16622,2,dry,28,82,3.06,medium,109.48,0
mountain,16286,4,dry,16,40,2.38,high,97.02,0
urban,10657,3,cold,15,81,2.83,high,95.35,1
urban,14328,4,dry,16,63,3.71,high,94.71,1
mountain,21333,2,cold,37,62,2.05,low,116.7,0
mountain,19963,2,rainy,26,72,0.65,medium,115.22,1
mountain,16229,3,rainy,33,70,0.91,high,101.82,0
mountain,15532,4,cold,39,46,2.78,medium,99.13,0
highway,23589,4,cold,5,79,2.01,low,102.98,0
mountain,15732,4,dry,31,71,2.71,medium,100.14,0
urban,25490,2,rainy,31,53,1.49,low,119.45,0
urban,23631,2,cold,7,86,3.44,low,118.08,0
urban,22606,4,rainy,12,82,0.3,high,100.59,1
urban,15121,3,dry,21,85,2.61,medium,101.32,0
urban,14129,4,dry,19,43,0.4,medium,95.84,0
mountain,23713,2,rainy,11,73,0.15,medium,119.73,1
highway,16324,4,dry,7,77,2.07,low,98.39,0
urban,24469,4,cold,16,76,2.67,low,103.57,0
highway,23755,3,dry,12,68,2.62,low,107.7,0
mountain,10160,2,cold,23,72,0.83,low,102.92,0
highway,25103,3,cold,10,81,2.38,low,109.31,0
mountain,18193,2,rainy,20,89,3.42,low,113.6,0
mountain,11641,3,dry,33,62,2.52,low,99.68,0
highway,13990,4,rainy,5,75,1.56,low,96.82,0
mountain,12716,4,cold,28,83,2.77,medium,98.69,0
mountain,10096,2,dry,5,71,0.29,medium,102.54,0
urban,12117,4,cold,34,66,3.2,medium,95.72,0
mountain,14967,2,cold,5,42,2.64,low,107.46,0
highway,24168,4,dry,7,87,1.78,low,103.69,0
urban,11182,2,cold,37,51,2.44,low,101.57,0
mountain,21917,2,rainy,27,87,0.96,low,118.28,0
mountain,20486,4,cold,23,59,0.9,low,102.51,0
mountain,10936,4,rainy,29,55,1.22,medium,96.47,0
mountain,10633,3,rainy,22,53,2.48,low,98.31,0
mountain,15274,3,rainy,29,58,3.74,low,102.48,0
highway,12533,3,cold,33,67,1.38,high,96.62,0
mountain,15460,4,cold,34,52,3.5,low,99.25,0
mountain,11121,4,rainy,8,79,3.09,low,97.23,1
mountain,14039,3,dry,30,82,2.43,high,100.43,0
highway,13073,4,rainy,15,64,2.95,medium,95.96,0
highway,12499,4,rainy,5,67,0.44,low,95.57,0
urban,24090,3,dry,15,89,3.57,low,108.86,0
mountain,17905,2,cold,29,41,0.64,medium,111.46,1
mountain,18058,4,cold,37,74,3.36,low,101.8,0
highway,22939,4,rainy,19,71,0.74,medium,102.46,0
highway,25261,2,dry,15,67,3.67,medium,119.48,1
urban,11695,2,dry,21,78,0.48,low,103.05,0
mountain,11211,4,cold,19,65,1.83,low,96.89,0
urban,22905,4,dry,31,73,0.31,medium,102.7,1
urban,14292,2,rainy,16,54,2.68,low,105.26,0
highway,10752,2,dry,9,85,1.3,high,99.98,0
urban,10962,4,dry,29,63,1.81,low,94.81,0
highway,24112,3,dry,27,47,0.44,low,107.38,0
highway,17298,3,dry,9,80,3.63,low,102.75,0
mountain,18613,4,rainy,38,58,1.61,medium,101.52,0
highway,23609,4,rainy,16,67,1.92,medium,102.68,0
highway,11238,4,cold,29,77,1.32,medium,95.54,0
highway,22455,3,rainy,39,69,1.59,medium,107.06,0
mountain,25221,3,cold,18,59,1.22,high,108.65,1
highway,12283,2,cold,33,42,2.29,low,102.53,0
mountain,17654,4,cold,14,56,0.65,medium,100.48,0
highway,17862,3,cold,7,68,1.44,low,102.71,0
urban,25343,3,dry,39,66,0.31,low,109.34,0
mountain,22025,3,rainy,21,46,1.2,low,107.51,0
urban,23439,2,cold,38,69,2.93,low,117.63,0
mountain,25584,4,cold,35,45,0.96,medium,105.32,0
urban,11750,2,rainy,37,74,2.46,low,103.2,0
urban,10760,2,rainy,26,47,0.62,high,98.72,0
highway,17993,2,rainy,13,70,3.14,medium,110.49,1
urban,14481,4,rainy,16,84,0.83,high,95.65,0
mountain,10782,3,rainy,18,63,3.95,medium,98.78,0
highway,20027,3,dry,17,63,2.07,medium,104.46,0
highway,23981,2,cold,21,62,0.56,high,115.77,1
urban,12915,4,dry,35,70,3.87,medium,96.4,0
highway,19780,2,dry,26,48,3.67,low,112.04,0
mountain,22321,3,cold,18,79,2.32,high,107.03,0
highway,18252,3,dry,19,59,2.68,low,102.85,0
urban,25820,4,dry,17,83,0.72,medium,104.71,0
highway,14202,2,cold,31,54,3.3,medium,105.38,0
mountain,18612,4,dry,13,43,1.84,low,100.55,0
urban,21906,2,cold,15,77,1.1,medium,115.69,1
mountain,21353,2,cold,11,44,3.99,high,113.62,1
highway,19991,2,cold,25,58,3.13,low,112.68,0
highway,15407,4,dry,9,43,3.0,low,96.48,0
highway,24503,4,rainy,27,59,3.26,low,103.08,0
highway,24197,3,rainy,5,40,3.37,low,106.84,0
urban,17192,3,dry,29,47,2.01,medium,101.64,0
mountain,14002,2,cold,38,79,1.74,low,108.23,0
highway,20067,2,dry,25,59,3.53,low,112.82,0
mountain,19388,3,cold,37,81,3.17,low,106.95,0
urban,19988,3,rainy,37,81,2.96,low,105.45,0
highway,20127,2,cold,29,42,0.3,medium,112.27,1
urban,19128,3,dry,23,68,0.66,medium,104.0,0
mountain,17828,2,dry,23,84,0.32,low,112.99,0
mountain,19382,2,cold,21,81,1.65,high,112.78,1
urban,16997,3,dry,20,55,3.09,medium,101.66,0
mountain,25804,3,rainy,16,63,0.52,low,111.26,0
mountain,25327,4,dry,7,75,2.98,low,105.93,0
urban,23816,2,rainy,13,56,0.7,low,117.2,0
mountain,18422,3,cold,32,73,2.3,low,105.75,0
highway,23854,3,dry,17,70,1.36,medium,107.93,1
mountain,19709,2,dry,20,86,1.78,low,115.38,0
urban,18613,2,rainy,34,48,2.93,low,110.7,0
urban,19028,3,cold,7,49,3.96,medium,102.92,0
highway,24666,2,rainy,5,84,2.03,low,119.27,0
highway,17741,2,dry,9,61,2.84,low,109.75,0
highway,23733,4,rainy,15,50,2.68,high,100.06,1
urban,16481,4,cold,20,40,3.49,low,97.2,0
mountain,21193,4,rainy,6,46,1.06,low,102.18,0
highway,11211,2,rainy,17,79,0.24,low,102.43,0
mountain,20777,2,dry,33,74,1.76,low,116.43,0
urban,24306,2,rainy,34,72,2.4,high,116.77,1
mountain,19731,3,dry,36,64,2.55,medium,106.54,0
mountain,18707,4,dry,37,41,3.07,low,100.89,0
mountain,13838,4,rainy,28,63,1.35,low,98.59,0
urban,23044,4,cold,16,67,1.27,medium,102.32,0
highway,11015,2,rainy,23,83,3.71,low,102.43,0
urban,14388,4,cold,36,85,2.93,low,97.93,0
highway,24952,4,dry,34,70,0.58,high,101.9,0
urban,14951,2,dry,19,87,3.56,low,107.45,0
mountain,21099,4,dry,34,54,3.04,high,100.86,1
urban,14465,3,cold,24,63,2.07,high,97.93,0
urban,15820,4,cold,9,59,3.36,low,97.38,0
mountain,19600,3,dry,33,48,2.52,medium,105.75,0
mountain,21310,3,rainy,28,62,3.53,high,105.66,1
highway,13942,2,dry,34,52,2.14,low,105.02,0
highway,13724,3,cold,29,59,0.21,low,99.23,0
urban,23079,2,rainy,5,68,3.89,low,116.64,0
urban,16461,4,cold,10,84,2.58,medium,98.8,0
urban,22060,4,rainy,18,89,0.6,medium,102.62,0
highway,22316,4,cold,22,76,0.37,low,102.32,0
urban,11036,4,cold,5,47,2.3,low,93.85,0
mountain,15969,2,dry,28,47,0.72,medium,109.26,1
highway,11571,4,cold,23,40,2.74,high,92.18,1
mountain,25086,3,rainy,12,78,1.73,medium,111.21,1
highway,19640,3,cold,20,80,2.71,medium,104.87,0
mountain,14138,2,rainy,19,74,1.87,low,107.92,0
mountain,17643,4,cold,38,42,2.17,low,100.28,0
urban,19125,3,cold,37,76,3.99,low,104.53,0
highway,16688,4,dry,5,59,1.54,high,95.86,0
mountain,22237,4,dry,13,45,2.46,low,102.89,0
mountain,23744,2,rainy,29,44,0.91,low,118.88,0
urban,16561,3,cold,15,88,3.63,medium,102.55,0
highway,23836,4,dry,27,48,0.79,low,102.22,0
highway,25091,2,rainy,5,65,3.37,low,119.04,0
mountain,12867,3,cold,9,82,3.42,medium,101.14,0
